Section / Zone,Pathway,Display logic,YES copy,NO copy,Change log (Ingrid)
PREAMBLE,"Crown lease, LVC and easements",STATIC - always shown at top,"Before you read your results
Your Crown lease
In the ACT, residential land is held under a Crown lease, not freehold title. Your lease has a purpose clause that says what can be built on the block. Many leases in Canberra are limited to a single dwelling. If yours is, that restriction applies regardless of what the planning rules permit - a lease variation through a development application is required before a second dwelling can be built or sold separately, and a Lease Variation Charge (LVC) applies. Depending on your suburb, this can range from around $46,000 to well over $300,000.
If you are in RZ1 and considering dual occupancy, check whether you qualify for the [ LINK: ACT Government's RZ1 LVC Partial Waiver  revenue.act.gov.au/rates-and-property-charges/lease-variation-charge-lvc/rz1-lease-variation-charge-lvc-partial-waiver ]

BlockPlanner is actively engaging with the ACT Government to push for fairer LVC treatment for resident-led projects. If the LVC would affect the feasibility of your project, we would like to hear from you.
[LINK: Share your experience with the LVC - takes 2 minutes]

Your easements
Your title may also have easements - legal rights held by third parties over part of your land. You cannot build over an easement, and depending where one sits it can significantly affect what is practical in the rear yard. The easement data in this report comes from ACTmapi deposited plans and is indicative only - not all easements registered on title will appear here. A title search confirms what actually applies.
","N/A - static, always shown",CHANGED: Added RZ1 LVC partial waiver section per Ingrid. Source: revenue.act.gov.au/rates-and-property-charges/lease-variation-charge-lvc/rz1-lease-variation-charge-lvc-partial-waiver
RZ1,"Add a secondary residence
(granny flat)","YES if block >= 500m²
NO if block < 500m²","The Territory Plan defines a secondary residence as ""a second dwelling on a block which is subordinate to the principal dwelling on the block."" A granny flat is the most common example - a self-contained home on the same block as your existing house with its own entrance, kitchen, bathroom, and living space. It stays on the same title and cannot be sold separately.

Your block qualifies.

You can build up to 90m² of floor area (garage excluded from that measurement). That is enough for a generous one-bedroom or a well-proportioned studio. What shapes whether it physically works is your site - where the house sits, how much usable rear yard you have, and whether trees or easements get in the way.

---
The rule behind this:
NI2023-540 E01 AR4 - ""The minimum block size for a secondary residence is 500m².""
NI2023-540 E01 AR3 - ""The maximum dwelling size of a secondary residence is 90m²."" (floor area to outside face of walls, excluding garage)
NI2023-540 E01 AR5 - ""Maximum of one secondary residence per block.""
NI2023-540 F01 AR5 - subdivision is not permitted to provide separate title to a secondary residence in all zones.
NI2023-540 F02 AR4 - ""A variation to a lease to authorise a secondary residence is approved only where the block affected by the lease is 500m² or larger."" ","The Territory Plan defines a secondary residence as ""a second dwelling on a block which is subordinate to the principal dwelling on the block."" A granny flat is the most common example.

Not available for this block.

NI2023-540 E01 AR4 sets the minimum block size for a secondary residence at 500m². At [block_size]m², this block does not meet that threshold.","CHANGED: Pathway renamed to 'Add a secondary residence (granny flat)'. Territory Plan definition added to YES and NO copy. F02 AR4 added as additional source. Per Ingrid: use TP definition, granny flat is an example of secondary residence."
RZ2,"Add a secondary residence
(granny flat)","YES if block >= 500m²
NO if block < 500m²","The Territory Plan defines a secondary residence as ""a second dwelling on a block which is subordinate to the principal dwelling on the block."" A granny flat is the most common example - a self-contained home on the same block as your existing house with its own entrance, kitchen, bathroom, and living space. It stays on the same title and cannot be sold separately.

Your block qualifies.

You can build up to 90m² of floor area (garage excluded). RZ2 gives marginally more site flexibility than RZ1 but the practical constraints are the same - house position, usable rear yard, trees, and easements shape what actually works.

---
The rule behind this:
NI2023-540 E01 AR4 - ""The minimum block size for a secondary residence is 500m².""
NI2023-540 E01 AR3 - ""The maximum dwelling size of a secondary residence is 90m²."" (excludes garage)
NI2023-540 E01 AR5 - ""Maximum of one secondary residence per block.""
NI2023-540 F01 AR5 - subdivision is not permitted to provide separate title to a secondary residence in all zones.
NI2023-540 F02 AR4 - ""A variation to a lease to authorise a secondary residence is approved only where the block affected by the lease is 500m² or larger."" ","The Territory Plan defines a secondary residence as ""a second dwelling on a block which is subordinate to the principal dwelling on the block."" A granny flat is the most common example.

Not available for this block.

NI2023-540 E01 AR4 sets the minimum block size for a secondary residence at 500m². At [block_size]m², this block does not meet that threshold.","CHANGED: Same as RZ1 - pathway renamed, TP definition added, F02 AR4 added as source."
RZ1,"Build a second full home
(Dual occupancy)","YES if block >= 800m²
NO if block < 800m²
Max 2 dwellings per standard block
Note: surrendered blocks (Mr Fluffy scheme) have a 700m² minimum","Under the Territory Plan, dual occupancy housing means ""the use of land that was originally used or leased for the purposes of single dwelling housing for two dwellings."" It is a form of multi-unit housing. Both homes can be lived in, rented, or sold as a package. To sell them separately you need to take an extra step - unit titling, covered below.

Your block qualifies.

All buildings on the block combined cannot cover more than 45% of the total block area. That includes the existing house, the new dwelling, garage, and any other roofed structures. Whether a second dwelling fits comfortably alongside what is already there depends on house position, rear yard depth, and what the 45% coverage limit and setback requirements leave to work with.

Building a second dwelling and pursuing unit titling both require a development application (DA). The DA covers construction approval. Unit titling also requires a lease variation as part of that process. Check your Crown lease before committing to anything.

---
The rule behind this:
NI2023-540 E01 AR16 - ""For multi-unit housing in RZ1: a) Minimum block area for more than one dwelling: 800m². b) Maximum number of dwellings per standard block: 2.""
NI2023-540 E01 AR14 - ""Site coverage for multi-unit housing in RZ1 and RZ2 is a maximum of 45% of the original block area.""
NI2023-540 E01 AR10 - ""RZ1: Maximum 2 storeys.""
NI2023-540 E01 AR17 - surrendered residential blocks (Mr Fluffy/asbestos buyback scheme): 700m² minimum.","Dual occupancy housing means two dwellings on a block that was originally used for a single dwelling. Both homes can be lived in, rented, or sold as a package.

Not available for this block.

NI2023-540 E01 AR16(a) requires a minimum block area of 800m² for more than one dwelling in RZ1. At [block_size]m², this block does not meet that threshold.","CHANGED: Removed 'no restriction on size of either' per Ingrid - size is constrained by site coverage, private open space, and setbacks. Added TP dictionary definition of dual occupancy housing. Added DA and lease variation note per Ingrid."
RZ2,"Build a second full home
(Dual occupancy)","GREEN if block >= 700m²
AMBER if 600-699m² (adaptable pathway - all dwellings AS4299 Class C)
NO if block < 600m²","Under the Territory Plan, dual occupancy housing means ""the use of land that was originally used or leased for the purposes of single dwelling housing for two dwellings."" It is a form of multi-unit housing. Both homes can be lived in, rented, or sold as a package. To sell them separately, see unit titling below.

Your block qualifies.

RZ2 allows more dwellings on larger blocks. The formula is one additional dwelling per 250m² or part thereof over the 700m² minimum. A 950m² block is 250m² over the minimum, giving at least two dwellings total. Site coverage across all buildings cannot exceed 45% of the block area. If street frontage is under 20m, the maximum is three dwellings regardless of block size.

If your block is between 600 and 699m², a second pathway exists where all dwellings must be built to the AS4299 Class C accessible design standard - wider doorways, step-free entry, accessible bathrooms throughout. That is a real design and cost commitment.

Building a second dwelling and pursuing unit titling both require a development application (DA). Check your Crown lease before committing to anything.

---
The rule behind this:
NI2023-540 E01 AR19 - ""For multi-unit housing on a standard block in RZ2: a) Minimum block area: 700m². b) Maximum dwellings: 1 additional for every 250m² (or part thereof) over the minimum.""
NI2023-540 E01 AR20 - ""For multi-unit adaptable housing: a) Minimum block area: 600m². b) Same yield formula. All dwellings built to be adaptable.""
NI2023-540 E01 AR21 - ""Frontage less than 20m: maximum 3 dwellings regardless of block size.""
NI2023-540 E01 AR14 - ""Site coverage maximum: 45% of original block area."" ","Dual occupancy housing means two dwellings on a block that was originally used for a single dwelling.

Not available for this block.

NI2023-540 E01 AR19(a) requires 700m² for the standard pathway. NI2023-540 E01 AR20(a) sets 600m² for the adaptable pathway, where all dwellings must meet the AS4299 Class C accessible design standard. At [block_size]m², this block does not meet either threshold.",CHANGED: Removed 'no restriction on size of either' per Ingrid. Added TP definition. Added DA and lease variation note per Ingrid.
RZ1,"Sell one home separately
(Unit titling)","YES if block >= 800m²
Must build and certify first
One dwelling <= 120m² floor area (excl. garage)
Cannot sell bare land in RZ1","Unit titling is the process that gives each dwelling on a dual occupancy its own separate title, making each independently sellable. It is the step that turns a construction project into two distinct assets.

Your block qualifies.

Both dwellings must be built and have a Certificate for Occupancy and Use before the unit title can be registered. You cannot sell bare land in RZ1 - construction comes first. One of the two dwellings must also be 120m² or less in floor area, excluding the garage. This is a condition of unit titling specifically, not a general design rule - the other dwelling can be larger.

What the process involves: constructing the dwellings requires a development application (DA). The unit titling itself also requires a lease variation as part of that DA process. Together this constitutes a significant development application. Check your Crown lease before committing to a design direction.

The ACT Government currently offers a stamp duty exemption on the first sale of a unit titled RZ1 property. Confirm current eligibility and expiry with the ACT Revenue Office before factoring this into any numbers.

---
The rule behind this:
NI2023-540 F01 AR12(a)(i) - ""Minimum block area: 800m². One dwelling must be no more than 120m² in floor area (excluding garage).""
NI2023-540 F01 AR12(b) - unit title subdivision is also permitted for multi-unit housing on a non-standard block.
NI2023-540 F01 AR13 - dwellings must be constructed and have a Certificate for Occupancy and Use before unit title can be registered.
DI2025-179 Sch 1 Item 1 - $46,000 per dwelling to specify number of dwellings (residential purposes lease).
DI2025-179 Sch 2 - $52,500 to $343,750 to vary a single-dwelling lease (suburb-dependent, eff. 1 July 2025).","Unit titling gives each dwelling on a dual occupancy its own separate title, making each independently sellable.

Not available for this block.

NI2023-540 F01 AR12(a)(i) requires a minimum block area of 800m² for a standard block. At [block_size]m², this block does not meet that threshold.

Note: unit title subdivision is also permitted for multi-unit housing on a non-standard block (F01 AR12(b)). If this block is non-standard, different rules may apply.",CHANGED: Added DA and lease variation requirement per Ingrid - 'constitutes a significant development application'. Added F01 AR12(b) non-standard block pathway (from F01 PDF). Added non-standard block note to NO copy.
RZ2,"Sell one home separately
(Unit titling)","YES if block meets dual occ minimum
(700m² standard / 600m² adaptable)
Must build and certify first","Unit titling is the process that gives each dwelling on a dual occupancy its own separate title, making each independently sellable.

Your block qualifies.

In RZ2, unit titling follows the dual occupancy minimum - there is no separate threshold. Both dwellings must be built and certified before the unit title can be registered. The application process can begin before construction is complete, but registration requires a Certificate for Occupancy and Use.

What the process involves: constructing the dwellings requires a development application (DA). The unit titling itself also requires a lease variation as part of that DA process. Together this constitutes a significant development application. Check your Crown lease before committing to a design direction.

---
The rule behind this:
NI2023-540 F01 AR13 - dwellings must be constructed and certified before unit title can be registered.
Minimum block size follows dual occupancy rules: 700m² standard pathway (E01 AR19(a)) or 600m² adaptable pathway where all dwellings meet AS4299 Class C (E01 AR20(a)).
Unit Titles Act 2001 - application can be lodged before construction is complete.","Unit titling gives each dwelling on a dual occupancy its own separate title, making each independently sellable.

Not available for this block.

Unit titling in RZ2 follows the dual occupancy minimum - 700m² standard pathway (E01 AR19(a)) or 600m² adaptable pathway (E01 AR20(a)). At [block_size]m², this block does not meet either threshold.",CHANGED: Added DA and lease variation requirement per Ingrid - 'constitutes a significant development application'.
RZ1,"Sell off part of your land
(Block subdivision)","NOT AVAILABLE in RZ1
Always show not available
Redirect: if block >= 800m², unit titling achieves a similar outcome",N/A - do not show yes state for RZ1.,"Block subdivision means splitting your block into two separate Crown leases under the Planning Act 2023 - your home stays on one, the new block becomes independently sellable as bare land.

Not available in RZ1.

NI2023-540 F01 AR11 - ""In RZ1, subdivision under the Planning Act 2023 to create one or more additional blocks, is not permitted.""

Note: this refers to block subdivision under the Planning Act. Unit title subdivision under the Unit Titles Act 2001 is a separate process and is available on qualifying RZ1 blocks - see the unit titling card above. These are different legal mechanisms with different outcomes: block subdivision creates a separate Crown lease (bare land), unit titling creates separate titles over constructed dwellings.

If this block is 800m²+, unit titling after building a second dwelling achieves a comparable financial outcome through a different legal structure.",CHANGED: Added explicit Planning Act vs Unit Titles Act distinction per Ingrid's flag. Clarifies that F01 AR11 prohibits Planning Act block subdivision only - unit title subdivision is separate and covered by AR12. Prevents reader confusion between the two mechanisms.
RZ2,"Sell off part of your land
(Block subdivision)","AMBER (possible) - available in all RZ2
Can sell bare land without building first
Practical minimum approx. 350m² for new lot (guidance only)","Block subdivision creates two separate Crown leases from one - your home stays on one, the new block becomes independently sellable. In RZ2 you can sell the new block as bare land without building first.

Available in your zone.

The practical question is whether the block has the dimensions to produce a second usable lot - enough area for a dwelling, workable shape, and proper street access. A practical minimum of around 350m² is generally expected for the new lot, though this is guidance rather than a hard rule.

This is a significant development application - two rounds of public notification and a 60 working day decision timeframe. A Lease Variation Charge of $7,500 may apply depending on your Crown lease.

---
The rule behind this:
NI2023-540 F01 AR7 - subdivision or consolidation of residential blocks (except RZ1) is only permitted where a new dwelling can be accommodated on the block.
NI2023-540 F01 AR8 - subdivision is only permitted where each subdivided block has utilities infrastructure.
NI2023-540 F01 AR14 - ""In all other residential zones, subdivision or consolidation is permitted where new blocks including any residual land can be appropriately developed in accordance with the relevant parts of the Territory Plan.""
Planning Act 2023 s43 - subdivision design application.
Planning Act 2023 s94 - significant development (2 rounds public notification, 60 working day timeframe).
NI2024-538 SS1 Spec 2.2 - approx. 350m² practical minimum for new lot (guidance, not mandatory).
DI2025-179 Sch 1 Item 6 - $7,500 LVC for subdivision where no dwelling count change required.",N/A - available in all RZ2. Always show amber/possible state.,"UPDATED: AR references updated to match F01 PDF exactly (AR7, AR8, AR14 per subdivision policy). AR14 quoted verbatim from the document."
RZ1,"Multi-unit housing
(3 or more dwellings on a standard RZ1 block)","NOT AVAILABLE for 3+ dwellings on a standard RZ1 block
Always show not available
Dual occupancy card covers the 2-dwelling pathway",N/A - do not show yes state for RZ1.,"Under the Territory Plan, ""multi-unit housing means the use of land for more than one dwelling."" This includes dual occupancy (two dwellings), which is covered in the card above.

For three or more dwellings on a standard RZ1 block - not available under current rules.

NI2023-540 E01 AR16(b) - ""Maximum number of dwellings per standard block: 2."" Three or more dwellings on a standard RZ1 block is not permitted.

Note: non-standard blocks and blocks where the Crown lease explicitly permits more than two dwellings may have different rules (E01 AR16 note). If your block falls into that category, a registered town planner can advise what applies.",CHANGED: Pathway renamed to 'Multi-unit housing (3 or more dwellings on a standard RZ1 block)'. Definition corrected to TP definition - 'more than one dwelling' not 'three or more'. Clarified that dual occupancy IS multi-unit housing but is covered separately. Added note on non-standard blocks per E01 AR16 note.
